,Id,CreatedDate,Full Name,Name,Email,PhoneNumber,IsActive,BillingAddress,BillingCountry,BillingCountryCode,BillingLatitude,BillingLongitude,CurrencyISOCode,AccountId
0,0056T000000ZIroqag,2024-11-01 13:47:42.000,Jason Wiedman,Apple,JasonWiedman@apple.com,001-754-772-2436x90958,1,"5763 Johns Village Jamieside, KS 90037",United States,US,-25.514507,-32.010990,USD,0056T000000ZSGqqao
1,0056T000000ZIroqag,2024-11-01 13:47:42.000,Jason Wiedman,Apple,JasonWiedman@apple.com,001-754-772-2436x90958,1,"5763 Johns Village Jamieside, KS 90037",United States,US,-25.514507,-32.010990,USD,0056T000000ZOxnqag
2,0056T000000ZDCEqaE,2024-10-30 15:35:45.000,Melissa Obrien,Amplify Digital Agency,MelissaObrien@amplifydigitalagency.com,656-261-1513x887,0,"0406 Montoya Terrace North Aaronfurt, SD 87616",United States,US,-57.547170,-85.862105,USD,0056T000000ZqCfqak
3,0056T000000ZDCEqaE,2024-10-30 15:35:45.000,Melissa Obrien,Amplify Digital Agency,MelissaObrien@amplifydigitalagency.com,656-261-1513x887,0,"0406 Montoya Terrace North Aaronfurt, SD 87616",United States,US,-57.547170,-85.862105,USD,0056T000000ZnFiqak
4,0056T000000ZvsKqas,2024-10-27 22:14:09.000,George Livingston,Pixel Perfect Marketing,GeorgeLivingston@pixelperfectmarketing.com,+1-711-865-3885x5595,1,"02398 Garcia Keys Suite 002 Lake Ashleystad, AR 34553",United States,US,-44.821613,59.286126,USD,0056T000000ZZnbqag
5,0056T000000ZvsKqas,2024-10-27 22:14:09.000,George Livingston,Pixel Perfect Marketing,GeorgeLivingston@pixelperfectmarketing.com,+1-711-865-3885x5595,1,"02398 Garcia Keys Suite 002 Lake Ashleystad, AR 34553",United States,US,-44.821613,59.286126,USD,0056T000000ZvyJqas
6,0056T000000ZvsKqas,2024-10-27 22:14:09.000,George Livingston,Pixel Perfect Marketing,GeorgeLivingston@pixelperfectmarketing.com,+1-711-865-3885x5595,1,"02398 Garcia Keys Suite 002 Lake Ashleystad, AR 34553",United States,US,-44.821613,59.286126,USD,0056T000000Zlczqac
7,0056T000000ZvsKqas,2024-10-27 22:14:09.000,George Livingston,Pixel Perfect Marketing,GeorgeLivingston@pixelperfectmarketing.com,+1-711-865-3885x5595,1,"02398 Garcia Keys Suite 002 Lake Ashleystad, AR 34553",United States,US,-44.821613,59.286126,USD,0056T000000ZPyrqag
8,0056T000000ZxDrqak,2024-10-27 08:18:09.000,Debora Sledge,NextGen Promotions,DeboraSledge@nextgenpromotions.com,589.757.1757,1,"224 Benjamin Knoll Lake Jacobmouth, MA 37234",United States,US,-88.927141,21.107797,USD,0056T000000ZbbTqas
9,0056T000000ZxDrqak,2024-10-27 08:18:09.000,Debora Sledge,NextGen Promotions,DeboraSledge@nextgenpromotions.com,589.757.1757,1,"224 Benjamin Knoll Lake Jacobmouth, MA 37234",United States,US,-88.927141,21.107797,USD,0056T000000ZDjfqag
